id,date,store_nbr,family,sales,onpromotion
66,2013-01-01,11,AUTOMOTIVE,0.0,0
67,2013-01-01,11,BABY CARE,0.0,0
68,2013-01-01,11,BEAUTY,0.0,0
69,2013-01-01,11,BEVERAGES,0.0,0
70,2013-01-01,11,BOOKS,0.0,0
71,2013-01-01,11,BREAD/BAKERY,0.0,0
72,2013-01-01,11,CELEBRATION,0.0,0
73,2013-01-01,11,CLEANING,0.0,0
74,2013-01-01,11,DAIRY,0.0,0
75,2013-01-01,11,DELI,0.0,0
76,2013-01-01,11,EGGS,0.0,0
77,2013-01-01,11,FROZEN FOODS,0.0,0
78,2013-01-01,11,GROCERY I,0.0,0
79,2013-01-01,11,GROCERY II,0.0,0
80,2013-01-01,11,HARDWARE,0.0,0
81,2013-01-01,11,HOME AND KITCHEN I,0.0,0
82,2013-01-01,11,HOME AND KITCHEN II,0.0,0
83,2013-01-01,11,HOME APPLIANCES,0.0,0
84,2013-01-01,11,HOME CARE,0.0,0
85,2013-01-01,11,LADIESWEAR,0.0,0
86,2013-01-01,11,LAWN AND GARDEN,0.0,0
87,2013-01-01,11,LINGERIE,0.0,0
88,2013-01-01,11,"LIQUOR,WINE,BEER",0.0,0
89,2013-01-01,11,MAGAZINES,0.0,0
90,2013-01-01,11,MEATS,0.0,0
91,2013-01-01,11,PERSONAL CARE,0.0,0
92,2013-01-01,11,PET SUPPLIES,0.0,0
93,2013-01-01,11,PLAYERS AND ELECTRONICS,0.0,0
94,2013-01-01,11,POULTRY,0.0,0
95,2013-01-01,11,PREPARED FOODS,0.0,0
96,2013-01-01,11,PRODUCE,0.0,0
97,2013-01-01,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
98,2013-01-01,11,SEAFOOD,0.0,0
1848,2013-01-02,11,AUTOMOTIVE,12.0,0
1849,2013-01-02,11,BABY CARE,0.0,0
1850,2013-01-02,11,BEAUTY,7.0,0
1851,2013-01-02,11,BEVERAGES,3443.0,0
1852,2013-01-02,11,BOOKS,0.0,0
1853,2013-01-02,11,BREAD/BAKERY,763.0,0
1854,2013-01-02,11,CELEBRATION,0.0,0
1855,2013-01-02,11,CLEANING,3260.0,0
1856,2013-01-02,11,DAIRY,296.0,0
1857,2013-01-02,11,DELI,527.295,0
1858,2013-01-02,11,EGGS,140.0,0
1859,2013-01-02,11,FROZEN FOODS,57.771,0
1860,2013-01-02,11,GROCERY I,7736.0,0
1861,2013-01-02,11,GROCERY II,15.0,0
1862,2013-01-02,11,HARDWARE,3.0,0
1863,2013-01-02,11,HOME AND KITCHEN I,0.0,0
1864,2013-01-02,11,HOME AND KITCHEN II,0.0,0
1865,2013-01-02,11,HOME APPLIANCES,0.0,0
1866,2013-01-02,11,HOME CARE,0.0,0
1867,2013-01-02,11,LADIESWEAR,0.0,0
1868,2013-01-02,11,LAWN AND GARDEN,0.0,0
1869,2013-01-02,11,LINGERIE,20.0,0
1870,2013-01-02,11,"LIQUOR,WINE,BEER",29.0,0
1871,2013-01-02,11,MAGAZINES,0.0,0
1872,2013-01-02,11,MEATS,832.541,0
1873,2013-01-02,11,PERSONAL CARE,604.0,0
1874,2013-01-02,11,PET SUPPLIES,0.0,0
1875,2013-01-02,11,PLAYERS AND ELECTRONICS,0.0,0
1876,2013-01-02,11,POULTRY,548.031,0
1877,2013-01-02,11,PREPARED FOODS,31.0,0
1878,2013-01-02,11,PRODUCE,0.0,0
1879,2013-01-02,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
1880,2013-01-02,11,SEAFOOD,5.0,0
3630,2013-01-03,11,AUTOMOTIVE,8.0,0
3631,2013-01-03,11,BABY CARE,0.0,0
3632,2013-01-03,11,BEAUTY,3.0,0
3633,2013-01-03,11,BEVERAGES,1911.0,0
3634,2013-01-03,11,BOOKS,0.0,0
3635,2013-01-03,11,BREAD/BAKERY,658.0,0
3636,2013-01-03,11,CELEBRATION,0.0,0
3637,2013-01-03,11,CLEANING,2282.0,0
3638,2013-01-03,11,DAIRY,173.0,0
3639,2013-01-03,11,DELI,322.415,0
3640,2013-01-03,11,EGGS,74.0,0
3641,2013-01-03,11,FROZEN FOODS,40.714,0
3642,2013-01-03,11,GROCERY I,5172.0,0
3643,2013-01-03,11,GROCERY II,5.0,0
3644,2013-01-03,11,HARDWARE,1.0,0
3645,2013-01-03,11,HOME AND KITCHEN I,0.0,0
3646,2013-01-03,11,HOME AND KITCHEN II,0.0,0
3647,2013-01-03,11,HOME APPLIANCES,0.0,0
3648,2013-01-03,11,HOME CARE,0.0,0
3649,2013-01-03,11,LADIESWEAR,0.0,0
3650,2013-01-03,11,LAWN AND GARDEN,0.0,0
3651,2013-01-03,11,LINGERIE,17.0,0
3652,2013-01-03,11,"LIQUOR,WINE,BEER",19.0,0
3653,2013-01-03,11,MAGAZINES,0.0,0
3654,2013-01-03,11,MEATS,677.96204,0
3655,2013-01-03,11,PERSONAL CARE,441.0,0
3656,2013-01-03,11,PET SUPPLIES,0.0,0
3657,2013-01-03,11,PLAYERS AND ELECTRONICS,0.0,0
3658,2013-01-03,11,POULTRY,526.114,0
3659,2013-01-03,11,PREPARED FOODS,13.0,0
3660,2013-01-03,11,PRODUCE,0.0,0
3661,2013-01-03,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
3662,2013-01-03,11,SEAFOOD,12.0,0
5412,2013-01-04,11,AUTOMOTIVE,5.0,0
5413,2013-01-04,11,BABY CARE,0.0,0
5414,2013-01-04,11,BEAUTY,1.0,0
5415,2013-01-04,11,BEVERAGES,2585.0,0
5416,2013-01-04,11,BOOKS,0.0,0
5417,2013-01-04,11,BREAD/BAKERY,580.0,0
5418,2013-01-04,11,CELEBRATION,0.0,0
5419,2013-01-04,11,CLEANING,2067.0,0
5420,2013-01-04,11,DAIRY,192.0,0
5421,2013-01-04,11,DELI,316.786,0
5422,2013-01-04,11,EGGS,39.0,0
5423,2013-01-04,11,FROZEN FOODS,53.899002,0
5424,2013-01-04,11,GROCERY I,4678.0,0
5425,2013-01-04,11,GROCERY II,11.0,0
5426,2013-01-04,11,HARDWARE,1.0,0
5427,2013-01-04,11,HOME AND KITCHEN I,0.0,0
5428,2013-01-04,11,HOME AND KITCHEN II,0.0,0
5429,2013-01-04,11,HOME APPLIANCES,0.0,0
5430,2013-01-04,11,HOME CARE,0.0,0
5431,2013-01-04,11,LADIESWEAR,0.0,0
5432,2013-01-04,11,LAWN AND GARDEN,0.0,0
5433,2013-01-04,11,LINGERIE,7.0,0
5434,2013-01-04,11,"LIQUOR,WINE,BEER",32.0,0
5435,2013-01-04,11,MAGAZINES,0.0,0
5436,2013-01-04,11,MEATS,711.788,0
5437,2013-01-04,11,PERSONAL CARE,373.0,0
5438,2013-01-04,11,PET SUPPLIES,0.0,0
5439,2013-01-04,11,PLAYERS AND ELECTRONICS,0.0,0
5440,2013-01-04,11,POULTRY,494.52502,0
5441,2013-01-04,11,PREPARED FOODS,22.0,0
5442,2013-01-04,11,PRODUCE,0.0,0
5443,2013-01-04,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
5444,2013-01-04,11,SEAFOOD,2.0,0
7194,2013-01-05,11,AUTOMOTIVE,7.0,0
7195,2013-01-05,11,BABY CARE,0.0,0
7196,2013-01-05,11,BEAUTY,10.0,0
7197,2013-01-05,11,BEVERAGES,2352.0,0
7198,2013-01-05,11,BOOKS,0.0,0
7199,2013-01-05,11,BREAD/BAKERY,646.0,0
7200,2013-01-05,11,CELEBRATION,0.0,0
7201,2013-01-05,11,CLEANING,2890.0,0
7202,2013-01-05,11,DAIRY,260.0,0
7203,2013-01-05,11,DELI,395.425,0
7204,2013-01-05,11,EGGS,67.0,0
7205,2013-01-05,11,FROZEN FOODS,42.841,0
7206,2013-01-05,11,GROCERY I,6107.0,0
7207,2013-01-05,11,GROCERY II,17.0,0
7208,2013-01-05,11,HARDWARE,0.0,0
7209,2013-01-05,11,HOME AND KITCHEN I,0.0,0
7210,2013-01-05,11,HOME AND KITCHEN II,0.0,0
7211,2013-01-05,11,HOME APPLIANCES,0.0,0
7212,2013-01-05,11,HOME CARE,0.0,0
7213,2013-01-05,11,LADIESWEAR,0.0,0
7214,2013-01-05,11,LAWN AND GARDEN,2.0,0
7215,2013-01-05,11,LINGERIE,9.0,0
7216,2013-01-05,11,"LIQUOR,WINE,BEER",92.0,0
7217,2013-01-05,11,MAGAZINES,0.0,0
7218,2013-01-05,11,MEATS,819.055,0
7219,2013-01-05,11,PERSONAL CARE,515.0,0
7220,2013-01-05,11,PET SUPPLIES,0.0,0
7221,2013-01-05,11,PLAYERS AND ELECTRONICS,0.0,0
7222,2013-01-05,11,POULTRY,493.728,0
7223,2013-01-05,11,PREPARED FOODS,35.0,0
7224,2013-01-05,11,PRODUCE,0.0,0
7225,2013-01-05,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
7226,2013-01-05,11,SEAFOOD,3.0,0
8976,2013-01-06,11,AUTOMOTIVE,11.0,0
8977,2013-01-06,11,BABY CARE,0.0,0
8978,2013-01-06,11,BEAUTY,8.0,0
8979,2013-01-06,11,BEVERAGES,2433.0,0
8980,2013-01-06,11,BOOKS,0.0,0
8981,2013-01-06,11,BREAD/BAKERY,647.0,0
8982,2013-01-06,11,CELEBRATION,0.0,0
8983,2013-01-06,11,CLEANING,3168.0,0
8984,2013-01-06,11,DAIRY,239.0,0
8985,2013-01-06,11,DELI,456.019,0
8986,2013-01-06,11,EGGS,102.0,0
8987,2013-01-06,11,FROZEN FOODS,50.0,0
8988,2013-01-06,11,GROCERY I,6740.0,0
8989,2013-01-06,11,GROCERY II,12.0,0
8990,2013-01-06,11,HARDWARE,1.0,0
8991,2013-01-06,11,HOME AND KITCHEN I,0.0,0
8992,2013-01-06,11,HOME AND KITCHEN II,0.0,0
8993,2013-01-06,11,HOME APPLIANCES,0.0,0
8994,2013-01-06,11,HOME CARE,0.0,0
8995,2013-01-06,11,LADIESWEAR,0.0,0
8996,2013-01-06,11,LAWN AND GARDEN,2.0,0
8997,2013-01-06,11,LINGERIE,12.0,0
8998,2013-01-06,11,"LIQUOR,WINE,BEER",0.0,0
8999,2013-01-06,11,MAGAZINES,0.0,0
9000,2013-01-06,11,MEATS,734.61505,0
9001,2013-01-06,11,PERSONAL CARE,588.0,0
9002,2013-01-06,11,PET SUPPLIES,0.0,0
9003,2013-01-06,11,PLAYERS AND ELECTRONICS,0.0,0
9004,2013-01-06,11,POULTRY,485.642,0
9005,2013-01-06,11,PREPARED FOODS,45.0,0
9006,2013-01-06,11,PRODUCE,0.0,0
9007,2013-01-06,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
9008,2013-01-06,11,SEAFOOD,5.0,0
10758,2013-01-07,11,AUTOMOTIVE,3.0,0
10759,2013-01-07,11,BABY CARE,0.0,0
10760,2013-01-07,11,BEAUTY,2.0,0
10761,2013-01-07,11,BEVERAGES,1978.0,0
10762,2013-01-07,11,BOOKS,0.0,0
10763,2013-01-07,11,BREAD/BAKERY,421.0,0
10764,2013-01-07,11,CELEBRATION,0.0,0
10765,2013-01-07,11,CLEANING,1956.0,0
10766,2013-01-07,11,DAIRY,184.0,0
10767,2013-01-07,11,DELI,272.926,0
10768,2013-01-07,11,EGGS,48.0,0
10769,2013-01-07,11,FROZEN FOODS,43.366,0
10770,2013-01-07,11,GROCERY I,4431.0,0
10771,2013-01-07,11,GROCERY II,2.0,0
10772,2013-01-07,11,HARDWARE,0.0,0
10773,2013-01-07,11,HOME AND KITCHEN I,0.0,0
10774,2013-01-07,11,HOME AND KITCHEN II,0.0,0
10775,2013-01-07,11,HOME APPLIANCES,0.0,0
10776,2013-01-07,11,HOME CARE,0.0,0
10777,2013-01-07,11,LADIESWEAR,0.0,0
10778,2013-01-07,11,LAWN AND GARDEN,2.0,0
10779,2013-01-07,11,LINGERIE,15.0,0
10780,2013-01-07,11,"LIQUOR,WINE,BEER",22.0,0
10781,2013-01-07,11,MAGAZINES,0.0,0
10782,2013-01-07,11,MEATS,845.054,0
10783,2013-01-07,11,PERSONAL CARE,342.0,0
10784,2013-01-07,11,PET SUPPLIES,0.0,0
10785,2013-01-07,11,PLAYERS AND ELECTRONICS,0.0,0
10786,2013-01-07,11,POULTRY,319.433,0
10787,2013-01-07,11,PREPARED FOODS,15.0,0
10788,2013-01-07,11,PRODUCE,0.0,0
10789,2013-01-07,11,SCHOOL AND OFFICE SUPPLIES,0.0,0
10790,2013-01-07,11,SEAFOOD,1.0,0
12540,2013-01-08,11,AUTOMOTIVE,2.0,0
12541,2013-01-08,11,BABY CARE,0.0,0
12542,2013-01-08,11,BEAUTY,2.0,0
12543,2013-01-08,11,BEVERAGES,1754.0,0
12544,2013-01-08,11,BOOKS,0.0,0
12545,2013-01-08,11,BREAD/BAKERY,448.0,0
12546,2013-01-08,11,CELEBRATION,0.0,0
12547,2013-01-08,11,CLEANING,1803.0,0
12548,2013-01-08,11,DAIRY,160.0,0
12549,2013-01-08,11,DELI,284.178,0
12550,2013-01-08,11,EGGS,63.0,0
12551,2013-01-08,11,FROZEN FOODS,36.075,0
12552,2013-01-08,11,GROCERY I,4399.0,0
12553,2013-01-08,11,GROCERY II,9.0,0
12554,2013-01-08,11,HARDWARE,3.0,0
12555,2013-01-08,11,HOME AND KITCHEN I,0.0,0
12556,2013-01-08,11,HOME AND KITCHEN II,0.0,0
12557,2013-01-08,11,HOME APPLIANCES,0.0,0
12558,2013-01-08,11,HOME CARE,0.0,0
12559,2013-01-08,11,LADIESWEAR,0.0,0
12560,2013-01-08,11,LAWN AND GARDEN,0.0,0
